Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2015,"122,544","97,773","1,210","12,385","11,176",79.79%,9.12%
Statewide,5-Year,2014,"124,037","101,694","1,591","5,097","15,655",81.99%,12.62%
Statewide,6-Year,2013,"127,452","103,551","2,188","2,851","18,862",81.25%,14.80%
Allen Park Public Schools (82020),4-Year,2015,290,254,<10,12,22,87.59%,7.59%
Allen Park Public Schools (82020),5-Year,2014,350,314,<10,<10,34,89.71%,9.71%
Allen Park Public Schools (82020),6-Year,2013,305,280,<10,<10,21,91.80%,6.89%
Crestwood School District (82230),4-Year,2015,330,310,<10,10,10,93.94%,3.03%
Crestwood School District (82230),5-Year,2014,319,307,<10,<10,<10,96.24%,2.82%
Crestwood School District (82230),6-Year,2013,290,284,<10,<10,<10,97.93%,2.07%
Dearborn City School District (82030),4-Year,2015,"1,383","1,243",15,72,53,89.88%,3.83%
Dearborn City School District (82030),5-Year,2014,"1,422","1,278",20,15,109,89.87%,7.67%
Dearborn City School District (82030),6-Year,2013,"1,463","1,321",12,12,118,90.29%,8.07%
Dearborn Heights School District #7 (82040),4-Year,2015,165,141,<10,16,<10,85.45%,4.85%
Dearborn Heights School District #7 (82040),5-Year,2014,185,154,<10,<10,26,83.24%,14.05%
Dearborn Heights School District #7 (82040),6-Year,2013,181,148,<10,<10,31,81.77%,17.13%
Detroit City School District (82010),4-Year,2015,"3,303","2,555",32,337,379,77.35%,11.47%
Detroit City School District (82010),5-Year,2014,"3,276","2,545",21,150,560,77.69%,17.09%
Detroit City School District (82010),6-Year,2013,"4,017","2,861",31,161,964,71.22%,24.00%
Ecorse Public Schools (82250),4-Year,2015,109,59,<10,23,26,54.13%,23.85%
Ecorse Public Schools (82250),5-Year,2014,112,76,<10,<10,28,67.86%,25.00%
Ecorse Public Schools (82250),6-Year,2013,137,92,<10,<10,42,67.15%,30.66%
Flat Rock Community Schools (82180),4-Year,2015,152,133,<10,11,<10,87.50%,4.61%
Flat Rock Community Schools (82180),5-Year,2014,130,114,<10,<10,13,87.69%,10.00%
Flat Rock Community Schools (82180),6-Year,2013,151,140,<10,<10,10,92.72%,6.62%
Garden City Public Schools (82050),4-Year,2015,477,352,<10,82,43,73.79%,9.01%
Garden City Public Schools (82050),5-Year,2014,548,398,<10,42,108,72.63%,19.71%
Garden City Public Schools (82050),6-Year,2013,624,467,<10,27,130,74.84%,20.83%
Gibraltar School District (82290),4-Year,2015,312,270,<10,31,11,86.54%,3.53%
Gibraltar School District (82290),5-Year,2014,280,259,<10,<10,20,92.50%,7.14%
Gibraltar School District (82290),6-Year,2013,285,259,<10,<10,23,90.88%,8.07%
Grosse Ile Township Schools (82300),4-Year,2015,139,137,<10,<10,<10,98.56%,0.00%
Grosse Ile Township Schools (82300),5-Year,2014,164,154,<10,<10,<10,93.90%,3.66%
Grosse Ile Township Schools (82300),6-Year,2013,156,152,<10,<10,<10,97.44%,2.56%
Grosse Pointe Public Schools (82055),4-Year,2015,732,696,<10,25,<10,95.08%,0.96%
Grosse Pointe Public Schools (82055),5-Year,2014,747,713,<10,11,17,95.45%,2.28%
Grosse Pointe Public Schools (82055),6-Year,2013,731,695,<10,<10,19,95.08%,2.60%
"Hamtramck, School District of the City of (82060)",4-Year,2015,287,208,<10,30,49,72.47%,17.07%
"Hamtramck, School District of the City of (82060)",5-Year,2014,318,215,<10,13,90,67.61%,28.30%
"Hamtramck, School District of the City of (82060)",6-Year,2013,312,189,<10,<10,117,60.58%,37.50%
"Harper Woods, The School District of the City of (82320)",4-Year,2015,335,143,<10,89,103,42.69%,30.75%
"Harper Woods, The School District of the City of (82320)",5-Year,2014,301,145,<10,47,107,48.17%,35.55%
"Harper Woods, The School District of the City of (82320)",6-Year,2013,282,143,<10,20,118,50.71%,41.84%
Highland Park City Schools (82070),4-Year,2015,114,<10,<10,<10,<10,N/A,N/A
Highland Park City Schools (82070),5-Year,2014,158,<10,<10,<10,<10,N/A,N/A
Highland Park City Schools (82070),6-Year,2013,33,<10,<10,<10,31,6.06%,93.94%
Huron School District (82340),4-Year,2015,218,193,<10,14,11,88.53%,5.05%
Huron School District (82340),5-Year,2014,182,167,<10,<10,10,91.76%,5.49%
Huron School District (82340),6-Year,2013,197,187,<10,<10,<10,94.92%,4.06%
"Lincoln Park, School District of the City of (82090)",4-Year,2015,350,279,<10,28,34,79.71%,9.71%
"Lincoln Park, School District of the City of (82090)",5-Year,2014,304,254,<10,15,32,83.55%,10.53%
"Lincoln Park, School District of the City of (82090)",6-Year,2013,343,281,<10,15,46,81.92%,13.41%
Livonia Public Schools School District (82095),4-Year,2015,"1,325","1,211",<10,72,41,91.40%,3.09%
Livonia Public Schools School District (82095),5-Year,2014,"1,341","1,229",<10,45,63,91.65%,4.70%
Livonia Public Schools School District (82095),6-Year,2013,"1,443","1,346",10,27,60,93.28%,4.16%
Melvindale-North Allen Park Schools (82045),4-Year,2015,189,182,<10,<10,<10,96.30%,1.59%
Melvindale-North Allen Park Schools (82045),5-Year,2014,216,209,<10,<10,<10,96.76%,3.24%
Melvindale-North Allen Park Schools (82045),6-Year,2013,194,190,<10,<10,<10,97.94%,1.55%
