Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2011,"134,672","100,096","1,626","17,958","14,992",74.33%,11.13%
Statewide,5-Year,2010,"138,006","109,301","1,848","6,598","20,259",79.20%,14.68%
Statewide,6-Year,2009,"142,387","113,714","2,281","3,191","23,201",79.86%,16.29%
Allen Park Public Schools (82020),4-Year,2011,365,301,<10,37,27,82.47%,7.40%
Allen Park Public Schools (82020),5-Year,2010,328,286,<10,<10,35,87.20%,10.67%
Allen Park Public Schools (82020),6-Year,2009,362,318,<10,<10,38,87.85%,10.50%
Crestwood School District (82230),4-Year,2011,284,241,<10,26,17,84.86%,5.99%
Crestwood School District (82230),5-Year,2010,319,301,<10,<10,17,94.36%,5.33%
Crestwood School District (82230),6-Year,2009,254,231,<10,<10,23,90.94%,9.06%
Dearborn City School District (82030),4-Year,2011,"1,369","1,041",12,158,158,76.04%,11.54%
Dearborn City School District (82030),5-Year,2010,"1,382","1,154",<10,25,196,83.50%,14.18%
Dearborn City School District (82030),6-Year,2009,"1,459","1,226",<10,<10,216,84.03%,14.80%
Dearborn Heights School District #7 (82040),4-Year,2011,157,113,<10,28,16,71.97%,10.19%
Dearborn Heights School District #7 (82040),5-Year,2010,170,147,<10,<10,19,86.47%,11.18%
Dearborn Heights School District #7 (82040),6-Year,2009,155,135,<10,<10,18,87.10%,11.61%
Detroit City School District (82010),4-Year,2011,"7,193","4,297",33,"1,424","1,439",59.74%,20.01%
Detroit City School District (82010),5-Year,2010,"7,659","5,236",17,472,"1,934",68.36%,25.25%
Detroit City School District (82010),6-Year,2009,"8,393","5,714",10,263,"2,406",68.08%,28.67%
Ecorse Public Schools (82250),4-Year,2011,130,71,<10,26,33,54.62%,25.38%
Ecorse Public Schools (82250),5-Year,2010,149,91,<10,<10,45,61.07%,30.20%
Ecorse Public Schools (82250),6-Year,2009,126,77,<10,<10,47,61.11%,37.30%
Flat Rock Community Schools (82180),4-Year,2011,137,114,<10,13,<10,83.21%,6.57%
Flat Rock Community Schools (82180),5-Year,2010,138,114,<10,<10,22,82.61%,15.94%
Flat Rock Community Schools (82180),6-Year,2009,128,107,<10,<10,21,83.59%,16.41%
Garden City Public Schools (82050),4-Year,2011,544,340,<10,136,67,62.50%,12.32%
Garden City Public Schools (82050),5-Year,2010,600,383,<10,86,129,63.83%,21.50%
Garden City Public Schools (82050),6-Year,2009,592,411,<10,23,155,69.43%,26.18%
Gibraltar School District (82290),4-Year,2011,239,201,<10,22,15,84.10%,6.28%
Gibraltar School District (82290),5-Year,2010,265,241,<10,<10,15,90.94%,5.66%
Gibraltar School District (82290),6-Year,2009,293,272,<10,<10,17,92.83%,5.80%
Grosse Ile Township Schools (82300),4-Year,2011,179,171,<10,<10,<10,95.53%,1.68%
Grosse Ile Township Schools (82300),5-Year,2010,141,138,<10,<10,<10,97.87%,1.42%
Grosse Ile Township Schools (82300),6-Year,2009,159,150,<10,<10,<10,94.34%,5.66%
Grosse Pointe Public Schools (82055),4-Year,2011,749,704,<10,26,16,93.99%,2.14%
Grosse Pointe Public Schools (82055),5-Year,2010,764,733,<10,10,21,95.94%,2.75%
Grosse Pointe Public Schools (82055),6-Year,2009,785,761,<10,<10,15,96.94%,1.91%
"Hamtramck, School District of the City of (82060)",4-Year,2011,244,136,<10,47,61,55.74%,25.00%
"Hamtramck, School District of the City of (82060)",5-Year,2010,300,185,<10,22,93,61.67%,31.00%
"Hamtramck, School District of the City of (82060)",6-Year,2009,277,171,<10,12,93,61.73%,33.57%
"Harper Woods, The School District of the City of (82320)",4-Year,2011,129,109,<10,10,10,84.50%,7.75%
"Harper Woods, The School District of the City of (82320)",5-Year,2010,98,83,<10,<10,12,84.69%,12.24%
"Harper Woods, The School District of the City of (82320)",6-Year,2009,91,85,<10,<10,<10,93.41%,6.59%
Highland Park City Schools (82070),4-Year,2011,305,106,<10,60,139,34.75%,45.57%
Highland Park City Schools (82070),5-Year,2010,355,151,<10,31,173,42.54%,48.73%
Highland Park City Schools (82070),6-Year,2009,487,216,<10,16,255,44.35%,52.36%
Huron School District (82340),4-Year,2011,206,177,<10,18,11,85.92%,5.34%
Huron School District (82340),5-Year,2010,180,160,<10,<10,14,88.89%,7.78%
Huron School District (82340),6-Year,2009,218,200,<10,<10,11,91.74%,5.05%
"Lincoln Park, School District of the City of (82090)",4-Year,2011,326,248,<10,27,51,76.07%,15.64%
"Lincoln Park, School District of the City of (82090)",5-Year,2010,257,223,<10,<10,30,86.77%,11.67%
"Lincoln Park, School District of the City of (82090)",6-Year,2009,299,249,<10,<10,46,83.28%,15.38%
Livonia Public Schools School District (82095),4-Year,2011,"1,512","1,315",16,83,98,86.97%,6.48%
Livonia Public Schools School District (82095),5-Year,2010,"1,575","1,428",<10,43,97,90.67%,6.16%
Livonia Public Schools School District (82095),6-Year,2009,"1,533","1,399",<10,32,96,91.26%,6.26%
Melvindale-North Allen Park Schools (82045),4-Year,2011,203,171,<10,23,<10,84.24%,4.43%
Melvindale-North Allen Park Schools (82045),5-Year,2010,194,173,<10,<10,20,89.18%,10.31%
Melvindale-North Allen Park Schools (82045),6-Year,2009,186,164,<10,<10,20,88.17%,10.75%
Northville Public Schools (82390),4-Year,2011,595,561,<10,26,<10,94.29%,0.67%
Northville Public Schools (82390),5-Year,2010,547,524,<10,17,<10,95.80%,1.10%
Northville Public Schools (82390),6-Year,2009,580,561,<10,<10,<10,96.72%,1.38%
Plymouth-Canton Community Schools (82100),4-Year,2011,"1,609","1,377",<10,152,73,85.58%,4.54%
Plymouth-Canton Community Schools (82100),5-Year,2010,"1,511","1,355",<10,35,113,89.68%,7.48%
Plymouth-Canton Community Schools (82100),6-Year,2009,"1,516","1,381",21,<10,106,91.09%,6.99%
"Redford Union Schools, District No. 1 (82110)",4-Year,2011,311,210,<10,57,44,67.52%,14.15%
"Redford Union Schools, District No. 1 (82110)",5-Year,2010,334,265,<10,<10,61,79.34%,18.26%
"Redford Union Schools, District No. 1 (82110)",6-Year,2009,350,279,<10,<10,70,79.71%,20.00%
"River Rouge, School District of the City of (82120)",4-Year,2011,98,38,<10,38,22,38.78%,22.45%
"River Rouge, School District of the City of (82120)",5-Year,2010,83,58,<10,11,14,69.88%,16.87%
"River Rouge, School District of the City of (82120)",6-Year,2009,119,85,<10,<10,34,71.43%,28.57%
Riverview Community School District (82400),4-Year,2011,216,196,<10,10,<10,90.74%,4.17%
Riverview Community School District (82400),5-Year,2010,221,208,<10,<10,12,94.12%,5.43%
Riverview Community School District (82400),6-Year,2009,222,209,<10,<10,<10,94.14%,4.05%
Romulus Community Schools (82130),4-Year,2011,424,255,<10,120,45,60.14%,10.61%
Romulus Community Schools (82130),5-Year,2010,386,285,11,25,65,73.83%,16.84%
Romulus Community Schools (82130),6-Year,2009,482,366,16,13,87,75.93%,18.05%
School District of the City of Inkster (82080),4-Year,2011,433,261,<10,95,76,60.28%,17.55%
School District of the City of Inkster (82080),5-Year,2010,411,238,<10,35,137,57.91%,33.33%
School District of the City of Inkster (82080),6-Year,2009,354,196,<10,<10,143,55.37%,40.40%
South Redford School District (82140),4-Year,2011,251,213,<10,14,24,84.86%,9.56%
South Redford School District (82140),5-Year,2010,262,228,<10,<10,27,87.02%,10.31%
South Redford School District (82140),6-Year,2009,250,225,<10,<10,25,90.00%,10.00%
Southgate Community School District (82405),4-Year,2011,779,332,<10,349,98,42.62%,12.58%
Southgate Community School District (82405),5-Year,2010,902,429,<10,258,212,47.56%,23.50%
Southgate Community School District (82405),6-Year,2009,953,494,19,143,297,51.84%,31.16%
Taylor School District (82150),4-Year,2011,683,475,<10,98,110,69.55%,16.11%
Taylor School District (82150),5-Year,2010,755,612,<10,29,112,81.06%,14.83%
Taylor School District (82150),6-Year,2009,783,617,<10,<10,162,78.80%,20.69%
Trenton Public Schools (82155),4-Year,2011,248,231,<10,<10,<10,93.15%,2.02%
Trenton Public Schools (82155),5-Year,2010,255,241,<10,<10,12,94.51%,4.71%
Trenton Public Schools (82155),6-Year,2009,215,202,<10,<10,10,93.95%,4.65%
Van Buren Public Schools (82430),4-Year,2011,504,403,<10,38,57,79.96%,11.31%
Van Buren Public Schools (82430),5-Year,2010,434,367,<10,<10,62,84.56%,14.29%
Van Buren Public Schools (82430),6-Year,2009,518,455,<10,<10,57,87.84%,11.00%
Wayne-Westland Community School District (82160),4-Year,2011,"1,045",729,<10,140,171,69.76%,16.36%
Wayne-Westland Community School District (82160),5-Year,2010,"1,128",808,11,65,244,71.63%,21.63%
Wayne-Westland Community School District (82160),6-Year,2009,"1,179",905,12,33,229,76.76%,19.42%
Westwood Community School District (82240),4-Year,2011,453,127,<10,257,69,28.04%,15.23%
Westwood Community School District (82240),5-Year,2010,376,149,<10,107,120,39.63%,31.91%
Westwood Community School District (82240),6-Year,2009,284,148,<10,30,106,52.11%,37.32%
Woodhaven-Brownstown School District (82365),4-Year,2011,411,319,<10,58,33,77.62%,8.03%
Woodhaven-Brownstown School District (82365),5-Year,2010,412,352,<10,13,47,85.44%,11.41%
Woodhaven-Brownstown School District (82365),6-Year,2009,413,364,<10,<10,48,88.14%,11.62%
"Wyandotte, School District of the City of (82170)",4-Year,2011,353,265,<10,72,15,75.07%,4.25%
"Wyandotte, School District of the City of (82170)",5-Year,2010,357,282,<10,44,31,78.99%,8.68%
"Wyandotte, School District of the City of (82170)",6-Year,2009,355,290,<10,38,27,81.69%,7.61%
Academy for Business and Technology (82921),4-Year,2011,55,45,<10,<10,<10,81.82%,5.45%
Academy for Business and Technology (82921),5-Year,2010,68,58,<10,<10,10,85.29%,14.71%
Academy for Business and Technology (82921),6-Year,2009,62,54,<10,<10,<10,87.10%,11.29%
Academy of Inkster (82961),4-Year,2011,11,<10,<10,<10,<10,9.09%,81.82%
Academy of Inkster (82961),5-Year,2010,48,36,<10,<10,12,75.00%,25.00%
Academy of Inkster (82961),6-Year,2009,53,50,<10,<10,<10,94.34%,5.66%
ACE Academy (SDA) (82998),4-Year,2011,47,<10,<10,18,20,17.02%,42.55%
ACE Academy (SDA) (82998),5-Year,2010,56,11,<10,<10,40,19.64%,71.43%
ACE Academy (SDA) (82998),6-Year,2009,52,<10,<10,<10,44,11.54%,84.62%
Advanced Technology Academy (63914),4-Year,2011,89,81,<10,<10,<10,91.01%,2.25%
Advanced Technology Academy (63914),5-Year,2010,70,64,<10,<10,<10,91.43%,8.57%
Advanced Technology Academy (63914),6-Year,2009,71,67,<10,<10,<10,94.37%,4.23%
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2011,19,17,<10,<10,<10,89.47%,10.53%
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2010,17,12,<10,<10,<10,70.59%,29.41%
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2009,27,19,<10,<10,<10,70.37%,29.63%
Allen Academy (82955),4-Year,2011,51,42,<10,<10,<10,82.35%,13.73%
Allen Academy (82955),5-Year,2010,64,55,<10,<10,<10,85.94%,14.06%
Allen Academy (82955),6-Year,2009,38,35,<10,<10,<10,92.11%,7.89%
Blanche Kelso Bruce Academy (82971),4-Year,2011,157,<10,<10,83,71,1.91%,45.22%
Blanche Kelso Bruce Academy (82971),5-Year,2010,104,<10,<10,22,79,2.88%,75.96%
Blanche Kelso Bruce Academy (82971),6-Year,2009,125,<10,<10,<10,114,2.40%,91.20%
Casa Richard Academy (82902),4-Year,2011,38,16,<10,11,11,42.11%,28.95%
Casa Richard Academy (82902),5-Year,2010,57,34,<10,<10,19,59.65%,33.33%
Casa Richard Academy (82902),6-Year,2009,36,17,<10,<10,19,47.22%,52.78%
Cesar Chavez Academy (82918),4-Year,2011,133,105,<10,<10,22,78.95%,16.54%
Cesar Chavez Academy (82918),5-Year,2010,121,92,<10,<10,27,76.03%,22.31%
Cesar Chavez Academy (82918),6-Year,2009,138,91,<10,<10,47,65.94%,34.06%
Chandler Park Academy (82923),4-Year,2011,160,143,<10,<10,13,89.38%,8.13%
Charlotte Forten Academy (82936),5-Year,2010,18,<10,<10,<10,16,5.56%,88.89%
Charlotte Forten Academy (82936),6-Year,2009,51,17,<10,<10,34,33.33%,66.67%
